Payment type,Date,Average trip cost,Average trip km cost
Cash,2020-01-31,12.129786410261119,2.6689236104739393
Credit card,2020-01-31,12.948265497773104,2.8075858675603693
Dispute,2020-01-31,0.16204111600587384,2.4916446402349477
No charge,2020-01-31,8.48864610111397,2.497086546700941
Cash,2020-01-30,12.14904476013843,2.679315118257767
Credit card,2020-01-30,12.804829693715927,2.78362247080466
Dispute,2020-01-30,-0.26750000000000007,2.265937499999997
No charge,2020-01-30,7.045235191637632,2.587351916376306
Cash,2020-01-29,11.682869112914654,2.536426966746951
Credit card,2020-01-29,12.591180493061403,2.725529029410575
Dispute,2020-01-29,-0.4331514084507041,2.2666197183098586
No charge,2020-01-29,8.392633624878524,2.3834791059280844
Cash,2020-01-28,11.611052153445927,2.590241152909119
Credit card,2020-01-28,12.298974110091512,2.702145120231509
Dispute,2020-01-28,0.42824723247232477,2.5424723247232466
No charge,2020-01-28,7.754553231939166,2.3950570342205264
Cash,2020-01-27,12.023240726300546,2.8099545505179906
Credit card,2020-01-27,12.887750669275386,2.9547383998135017
Dispute,2020-01-27,0.8390558766859345,2.926801541425819
No charge,2020-01-27,7.950020576131688,2.4013374485596715
Cash,2020-01-26,12.261835233311793,2.9503365775378945
Credit card,2020-01-26,13.066568071872796,3.131654675735605
Dispute,2020-01-26,-0.2694545454545456,2.6031404958677666
No charge,2020-01-26,8.458014403292184,2.614670781893001
Cash,2020-01-25,11.325292347156907,2.5147102180418917
Credit card,2020-01-25,11.68801237594715,2.5625790634051504
Dispute,2020-01-25,-1.633291666666667,2.185569444444441
No charge,2020-01-25,6.874770562770563,2.1791428571428573
Cash,2020-01-24,11.910720306376275,2.6418851446876292
Credit card,2020-01-24,12.759378154549065,2.799018514362037
Dispute,2020-01-24,0.8126595744680851,2.6377963525835826
No charge,2020-01-24,8.492385398981325,2.490237691001699
Cash,2020-01-23,12.042179979005631,2.6741507777459668
Credit card,2020-01-23,12.797286834469771,2.814231570699339
Dispute,2020-01-23,0.7562096774193549,2.750500000000005
No charge,2020-01-23,8.523147256977863,2.45550529355149
Cash,2020-01-22,11.769807490938382,2.5838322593636587
Credit card,2020-01-22,12.51419488383943,2.723041167713465
Dispute,2020-01-22,1.7474442538593482,2.567392795883363
No charge,2020-01-22,8.45104306220096,2.525062200956935
Cash,2020-01-21,11.876222797293996,2.611076493601709
Credit card,2020-01-21,12.791282405828367,2.8247415284452306
Dispute,2020-01-21,-1.385,2.613709090909089
No charge,2020-01-21,7.780686947988224,2.5011678115799776
Unknown,2020-01-21,0.0,0.0
Cash,2020-01-20,12.017975907622127,2.9648115852499655
Credit card,2020-01-20,13.429836549588117,3.309389762439556
Dispute,2020-01-20,1.0475396825396823,3.0680753968253978
No charge,2020-01-20,7.924604847207589,2.764014752370913
Cash,2020-01-19,12.011073985190656,2.940280187885872
Credit card,2020-01-19,12.511598676337092,2.9967039348449727
Dispute,2020-01-19,-0.15780201342281872,2.4951677852348975
No charge,2020-01-19,7.606298701298702,2.9381168831168805
Cash,2020-01-18,11.511605254845126,2.6071057472545762
Credit card,2020-01-18,11.91027877274183,2.6798659976519446
Dispute,2020-01-18,1.6770473083197392,2.975383360522025
No charge,2020-01-18,7.10284332688588,2.339323017408124
Cash,2020-01-17,11.813248825489024,2.5998141282993106
Credit card,2020-01-17,12.739955741224039,2.812222982555864
Dispute,2020-01-17,-0.07875862068965521,2.271613793103445
No charge,2020-01-17,8.615222135619645,2.5218706157443496
Cash,2020-01-16,12.043966739215362,2.6614742266123623
Credit card,2020-01-16,12.68472562649614,2.768014319913871
Dispute,2020-01-16,2.8602090032154344,2.5785691318327957
No charge,2020-01-16,8.081055456171736,2.416305903398927
Cash,2020-01-15,11.878660982251112,2.6404525669309984
Credit card,2020-01-15,12.80431268845133,2.8459382737234304
